  53D|   11|C|   35|17|||N|
  54A|   11|C|   36|17|||N|
  54B|   11|C|   36|17|||N|
  55A|   11|C|   36|17|||N|
  55B|   11|C|   36|17|||N|
  55C|   11|C|   36|17|||N|
  56A|   12|C|   37|17| ||N|
  56B|   12|C|   37|17|||N|
  56C|   12|C|   37|17|||N|
  56D|   12|C|   37|17|||N|
  56E|   12|C|   37|17|||N|
  56F|   12|C|   37|17|||N|
  56G|   12|C|   37|17|||N|
  57A|   12|C|   37|17|||N|
  57B|   12|C|   37|17|||N|
  58A|   12|C|   38|17|||N|
  59A|   13|C|   39|17|||N|
  60A|   13|C|   39|17|||N|
  61A|   13|C|   40|17|||N|
  62A|   13|C|   40|17|||N|
  63A|   14|C|   41|17|||N|
  64A|   14|C|   41|17|||N|
  64B|   14|C|   41|17|||N|
  65A|   14|C|   41|17|||N|
  65B|   14|C|   41|17|||N|
  66A|   14|C|   41|17|||N|
  66B|   14|C|   41|17|||N|
  67A|   15|C|   42|17|||N|
  67B|   15|C|   42|17|||N|
  67C|   15|C|   42|17|||N|
  67D|   15|C|   42|17|||N|
  67E|   15|C|   42|17|||N|
  67F|   15|C|   42|17|||N|
  67G|   15|C|   42|17|||N|
  67H|   15|C|   42|17| ||N|
  68A|   15|C|   42|17|||N|
  68B|   15|C|   42|17|||N|
  68C|   15|C|   42|17|||N|
  69A|   15|C|   42|17|||N|
  70A|   15|C|   43|17|||N|
  70B|   15|C|   43|17|||N|
  71A|   15|C|   43|17|||N|
  71B|   15|C|   43|17|||N|
  72A|   15|C|   43|17|||N|
  72B|   15|C|   43|17|||N|
  72C|   15|C|   43|17|||N|
  72D|   15|C|   43|17|||N|
  73A|   16|C|   44|17|||N|
  73B|   16|C|   44|17|||N|
  74A|   16|C|   45|17|||N|
  75A|   16|C|   46|17|||N|
  75B|   16|C|   46|17|||N|
  76A|   17|C|   47|17|||N|
  77A|   17|C|   47|17|||N|
  77B|   17|C|   47|17|||N|
  77C|   17|C|   47|17|||N|
  77D|   17|C|   47|17|||N|
  77E|   17|C|   47|17|||N|
  77F|   17|C|   47|17|||N|
  78A|   17|C|   47|17|||N|
  79A|   18|C|   48|17|||N|
  79B|   18|C|   49|17|||N|
  79C|   18|C|   48|17|||N|
  80A|   18|C|   48|17|||N|
  81A|   18|C|   48|17|||N|
  82A|   18|C|   50|17|||N|
  82B|   18|C|   50|17|||N|
  83A|   18|C|   50|17|||N|
  83B|   18|C|   50|17|||N|
  84A|   19|C|   51|17|||N|
  85A|   19|C|   52|17|||N|
  85B|   19|C|   52|17|||N|
  86A|   19|C|   52|17|||N|
  87A|   19|C|   52|17|||N|
  88A|   19|C|   51|17|||N|
  88B|   19|C|   51|17|||N|
  88C|   19|C|   51|17|||N|
  89A|   20|C|   53|17|||N|
  89B|   20|C|   53|17|||N|
  89C|   20|C|   53|17|||N|
  89D|   20|C|   53|17|||N|
  89E|   20|C|   53|17|||N|
  90A|   20|C|   54|17|||N|
  90B|   20|C|   54|17|||N|
  91A|   21|C|   55|17|||N|
  91B|   21|C|   55|17|||N|
  91C|   21|C|   55|17|||N|
  91D|   21|C|   55|17|||N|
